id,city,status,gate,claim,scheduled_time,actual_time,flight_codes,arrival_airport_code
708656,San Jose,On Time,20,5,2026-03-14 08:25:00,2026-03-14 08:25:00,WN4455,SJC
708657,Oakland,On Time,18,5,2026-03-14 08:30:00,2026-03-14 08:30:00,WN726,OAK
-1,Dallas-Ft. Worth,On Time,7,1,2026-03-14 08:33:00,2026-03-14 08:33:00,AA1686,DFW
-1,San Francisco,On Time,8,4,2026-03-14 08:43:00,2026-03-14 08:43:00,"UA5937, AC4246",SFO
-1,Phoenix,On Time,,6,2026-03-14 08:55:00,2026-03-14 08:55:00,F91719,PHX
-1,Phoenix,On Time,5,1,2026-03-14 08:58:00,2026-03-14 08:58:00,AA543,PHX
-1,Salt Lake City,On Time,4,2,2026-03-14 09:00:00,2026-03-14 09:00:00,DL1198,SLC
708666,Sacramento,On Time,17,5,2026-03-14 09:10:00,2026-03-14 09:10:00,WN574,SMF
-1,San Francisco,On Time,12,3,2026-03-14 09:29:00,2026-03-14 09:29:00,AS3440,SFO
708670,Phoenix,On Time,20,5,2026-03-14 09:30:00,2026-03-14 09:30:00,WN643,PHX
-1,Boise,Early,11,3,2026-03-14 09:43:00,2026-03-14 09:36:00,AS335,BOI
-1,Denver,On Time,10,4,2026-03-14 09:48:00,2026-03-14 09:48:00,"UA2666, AC5491",DEN
-1,Las Vegas,On Time,15,6,2026-03-14 09:53:00,2026-03-14 09:53:00,NK1622,LAS
-1,Provo,On Time,16,6,2026-03-14 09:59:00,2026-03-14 09:59:00,G41589,PVU
-1,Provo,On Time,2,2,2026-03-14 10:00:00,2026-03-14 10:00:00,MX602,PVU
708671,Denver,On Time,19,5,2026-03-14 10:00:00,2026-03-14 10:00:00,WN204,DEN
-1,Dallas-Ft. Worth,On Time,6,1,2026-03-14 10:05:00,2026-03-14 10:05:00,AA3197,DFW
-1,Newark,On Time,9,4,2026-03-14 10:09:00,2026-03-14 10:05:00,"UA785, AC3741",EWR
-1,Seattle-Tacoma,On Time,4,2,2026-03-14 10:13:00,2026-03-14 10:09:00,DL2101,SEA
-1,Portland,Early,13,3,2026-03-14 10:14:00,2026-03-14 10:00:00,AS1404,PDX
708680,Las Vegas,Delayed,17,N/A,2026-03-14 10:30:00,2026-03-14 14:05:00,WN3280,LAS
-1,Chicago/O'Hare,On Time,7,1,2026-03-14 10:46:00,2026-03-14 10:46:00,AA2285,ORD
-1,Denver,On Time,,6,2026-03-14 10:47:00,2026-03-14 10:47:00,F94371,DEN
-1,San Francisco,On Time,12,3,2026-03-14 11:11:00,2026-03-14 11:11:00,AS3450,SFO
-1,Las Vegas,Early,2,2,2026-03-14 11:16:00,2026-03-14 11:03:00,DL4078,LAS
-1,Atlanta,Early,4,2,2026-03-14 11:24:00,2026-03-14 11:12:00,DL329,ATL
