id,flight_type,city,status,gate,claim,scheduled_time,actual_time,flight_codes,route_airport_code
711272,arrival,Sacramento,Arrived,19,5,2026-03-22 08:25:00,2026-03-22 08:58:00,WN8504,SMF
-1,arrival,Dallas-Ft. Worth,Arrived,7,1,2026-03-22 08:33:00,2026-03-22 08:26:00,AA1686,DFW
-1,arrival,San Francisco,Arrived,12,3,2026-03-22 08:35:00,2026-03-22 08:27:00,AS3440,SFO
710817,arrival,Sacramento,Arrived,21,5,2026-03-22 08:35:00,2026-03-22 08:30:00,WN726,SMF
-1,arrival,Provo,Arrived,4,2,2026-03-22 08:40:00,2026-03-22 08:30:00,MX602,PVU
710819,arrival,Phoenix,Arrived,17,5,2026-03-22 08:45:00,2026-03-22 08:31:00,WN2566,PHX
-1,arrival,Phoenix,Arrived,15,6,2026-03-22 08:50:00,2026-03-22 09:24:00,F91719,PHX
-1,arrival,Phoenix,Arrived,6,1,2026-03-22 08:55:00,2026-03-22 08:58:00,AA543,PHX
710828,arrival,San Jose,Arrived,20,5,2026-03-22 08:55:00,2026-03-22 08:44:00,WN4455,SJC
-1,arrival,Provo,Arrived,16,6,2026-03-22 08:59:00,2026-03-22 08:41:00,G43211,PVU
-1,arrival,San Francisco,Arrived,8,4,2026-03-22 09:03:00,2026-03-22 08:58:00,"UA5937, AC4246",SFO
-1,arrival,Salt Lake City,Arrived,2,2,2026-03-22 09:09:00,2026-03-22 08:50:00,DL1198,SLC
710830,arrival,Oakland,Arrived,18,5,2026-03-22 09:10:00,2026-03-22 09:05:00,WN1199,OAK
-1,arrival,Boise,Arrived,11,3,2026-03-22 09:11:00,2026-03-22 08:56:00,AS486,BOI
-1,arrival,Portland,Arrived,13,3,2026-03-22 09:38:00,2026-03-22 09:30:00,AS1404,PDX
710841,arrival,Sacramento,Arrived,19,5,2026-03-22 09:40:00,2026-03-22 10:31:00,WN2206,SMF
-1,arrival,Denver,Arrived,9,4,2026-03-22 09:48:00,2026-03-22 09:27:00,"UA2666, AC5491",DEN
710846,arrival,Las Vegas,Arrived,17,5,2026-03-22 09:50:00,2026-03-22 09:48:00,WN935,LAS
-1,arrival,Everett,Arrived,12,3,2026-03-22 09:50:00,2026-03-22 09:28:00,AS2270,PAE
-1,arrival,Las Vegas,Arrived,,6,2026-03-22 09:53:00,2026-03-22 09:53:00,NK1622,LAS
-1,arrival,Dallas-Ft. Worth,Arrived,5,1,2026-03-22 10:05:00,2026-03-22 09:46:00,AA3197,DFW
710851,arrival,Denver,Arrived,21,5,2026-03-22 10:05:00,2026-03-22 10:01:00,WN361,DEN
-1,arrival,Newark,Arrived,10,4,2026-03-22 10:09:00,2026-03-22 10:09:00,"UA785, AC3741",EWR
-1,arrival,Seattle-Tacoma,Arrived,4,2,2026-03-22 10:14:00,2026-03-22 09:51:00,DL2101,SEA
-1,arrival,Seattle-Tacoma,Arrived,11,3,2026-03-22 10:19:00,2026-03-22 10:02:00,AS699,SEA
-1,arrival,Chicago/O'Hare,Arrived,6,1,2026-03-22 10:46:00,2026-03-22 10:38:00,AA2285,ORD
-1,arrival,Detroit,Arrived,3,2,2026-03-22 10:46:00,2026-03-22 10:28:00,DL1857,DTW
-1,arrival,Denver,Arrived,15,6,2026-03-22 10:47:00,2026-03-22 10:23:00,F94371,DEN
710861,arrival,San Jose,Arrived,18,5,2026-03-22 11:05:00,2026-03-22 11:10:00,WN2443,SJC
-1,arrival,San Francisco,Arrived,12,3,2026-03-22 11:08:00,2026-03-22 10:59:00,AS3034,SFO
-1,arrival,Las Vegas,Arrived,4,2,2026-03-22 11:16:00,2026-03-22 11:17:00,DL4078,LAS
-1,arrival,Seattle-Tacoma,Arrived,13,3,2026-03-22 11:19:00,2026-03-22 10:46:00,AS759,SEA
-1,arrival,Atlanta,Arrived,2,2,2026-03-22 11:24:00,2026-03-22 11:01:00,DL329,ATL
-1,arrival,Vancouver,Arrived,14,6,2026-03-22 11:25:00,2026-03-22 11:16:00,AC598,YVR
710864,arrival,Las Vegas,Arrived,20,5,2026-03-22 11:25:00,2026-03-22 11:08:00,WN1479,LAS
-1,arrival,Houston,Arrived,8,4,2026-03-22 11:27:00,2026-03-22 11:34:00,UA1383,IAH
710868,arrival,Oakland,Arrived,17,5,2026-03-22 11:35:00,2026-03-22 11:29:00,WN1984,OAK
-1,arrival,Phoenix,Arrived,6,1,2026-03-22 11:36:00,2026-03-22 11:44:00,AA456,PHX
-1,arrival,Chicago/O'Hare,Arrived,9,3,2026-03-22 11:51:00,2026-03-22 11:43:00,"UA1304, AC5451",ORD
-1,arrival,New York/JFK,Arrived,7,1,2026-03-22 11:52:00,2026-03-22 11:27:00,AA3085,JFK
-1,arrival,Dallas-Ft. Worth,Arrived,5,1,2026-03-22 11:57:00,2026-03-22 11:32:00,AA2264,DFW
710877,arrival,Sacramento,Arrived,19,5,2026-03-22 12:10:00,2026-03-22 12:04:00,WN813,SMF
710878,arrival,Phoenix,Arrived,18,5,2026-03-22 12:15:00,2026-03-22 12:07:00,WN4507,PHX
-1,arrival,Salt Lake City,Arrived,4,2,2026-03-22 12:20:00,2026-03-22 13:02:00,DL1189,SLC
-1,arrival,San Francisco,Arrived,10,4,2026-03-22 12:22:00,2026-03-22 12:09:00,"UA643, AC3054",SFO
-1,arrival,Provo,Arrived,16,6,2026-03-22 12:29:00,2026-03-22 12:04:00,G43220,PVU
-1,arrival,Phoenix,Arrived,6,1,2026-03-22 12:37:00,2026-03-22 12:38:00,AA457,PHX
-1,arrival,Minneapolis-St. Paul,Arrived,3,2,2026-03-22 12:47:00,2026-03-22 12:32:00,DL2081,MSP
710889,arrival,San Jose,Arrived,21,5,2026-03-22 12:50:00,2026-03-22 12:37:00,WN3810,SJC
-1,arrival,Denver,Arrived,8,4,2026-03-22 13:15:00,2026-03-22 13:12:00,"UA1320, AC5277",DEN
-1,arrival,Portland,Arrived,11,3,2026-03-22 13:24:00,2026-03-22 16:00:00,AS588,PDX
-1,arrival,Santa Rosa,Arrived,12,3,2026-03-22 13:24:00,2026-03-22 13:17:00,AS3287,STS
-1,arrival,Calgary,Arrived,14,6,2026-03-22 13:24:00,2026-03-22 13:05:00,WS1580,YYC
710892,arrival,Las Vegas,Arrived,19,5,2026-03-22 13:25:00,2026-03-22 13:36:00,WN3280,LAS
710894,arrival,Oakland,Arrived,20,5,2026-03-22 13:25:00,2026-03-22 13:08:00,WN4100,OAK
710895,arrival,Phoenix,Arrived,18,5,2026-03-22 13:30:00,2026-03-22 13:36:00,WN2776,PHX
-1,arrival,Provo,Arrived,2,2,2026-03-22 13:49:00,2026-03-22 13:32:00,MX617,PVU
710896,arrival,Denver,Arrived,21,5,2026-03-22 13:55:00,2026-03-22 13:51:00,WN133,DEN
-1,arrival,Dallas-Ft. Worth,Arrived,7,1,2026-03-22 13:57:00,2026-03-22 13:37:00,AA2861,DFW
-1,arrival,Las Vegas,Arrived,15,6,2026-03-22 13:58:00,2026-03-22 14:29:00,NK949,LAS
-1,arrival,Seattle-Tacoma,Arrived,11,3,2026-03-22 14:03:00,2026-03-22 13:37:00,AS1357,SEA
-1,arrival,Houston,Arrived,9,4,2026-03-22 14:11:00,2026-03-22 13:24:00,UA1612,IAH
-1,arrival,Chicago/O'Hare,Arrived,6,1,2026-03-22 14:23:00,2026-03-22 14:44:00,AA2212,ORD
710900,arrival,Las Vegas,Arrived,20,5,2026-03-22 14:25:00,2026-03-22 14:31:00,WN2303,LAS
-1,arrival,San Francisco,Arrived,12,3,2026-03-22 14:34:00,2026-03-22 14:21:00,AS3267,SFO
-1,arrival,Phoenix-Mesa,Arrived,16,6,2026-03-22 14:39:00,2026-03-22 14:59:00,G43530,AZA
710902,arrival,Austin,Arrived,19,5,2026-03-22 14:40:00,2026-03-22 14:37:00,WN1597,AUS
-1,arrival,San Francisco,Arrived,10,4,2026-03-22 14:52:00,2026-03-22 14:55:00,"UA5440, AC5458",SFO
710904,arrival,San Jose Del Cabo,Arrived,14,5,2026-03-22 15:00:00,2026-03-22 15:04:00,WN641,SJD
-1,arrival,Eugene Airport,Arrived,17,6,2026-03-22 15:09:00,2026-03-22 14:49:00,G43210,EUG
710906,arrival,San Jose,Arrived,21,5,2026-03-22 15:35:00,2026-03-22 19:00:00,WN2803,SJC
-1,arrival,Phoenix,Arrived,6,1,2026-03-22 15:42:00,2026-03-22 16:42:00,AA2094,PHX
-1,arrival,Las Vegas,Arrived,2,2,2026-03-22 15:48:00,2026-03-22 15:43:00,MX683,LAS
-1,arrival,Dallas-Ft. Worth,Arrived,5,1,2026-03-22 15:54:00,2026-03-22 16:19:00,AA2659,DFW
-1,arrival,Tucson,Arrived,12,3,2026-03-22 16:02:00,2026-03-22 15:52:00,AS3471,TUS
710908,arrival,Sacramento,Arrived,19,5,2026-03-22 16:10:00,2026-03-22 15:58:00,WN4501,SMF
-1,arrival,Salt Lake City,Arrived,3,2,2026-03-22 16:16:00,2026-03-22 16:01:00,DL1277,SLC
-1,arrival,Seattle-Tacoma,Arrived,13,3,2026-03-22 16:29:00,2026-03-22 16:07:00,AS773,SEA
-1,arrival,Las Vegas,Arrived,4,2,2026-03-22 16:48:00,2026-03-22 16:26:00,DL4074,LAS
710910,arrival,Oakland,Arrived,17,5,2026-03-22 16:50:00,2026-03-22 17:56:00,WN4102,OAK
-1,arrival,San Francisco,Arrived,12,3,2026-03-22 16:56:00,2026-03-22 16:47:00,AS3417,SFO
-1,arrival,Salt Lake City,Arrived,15,6,2026-03-22 16:57:00,2026-03-22 16:34:00,F91365,SLC
710912,arrival,Sacramento,Arrived,21,5,2026-03-22 17:15:00,2026-03-22 17:10:00,WN1271,SMF
710913,arrival,Puerto Vallarta,Arrived,14,5,2026-03-22 17:20:00,2026-03-22 17:04:00,WN764,PVR
