id,flight_type,city,status,gate,claim,scheduled_time,actual_time,flight_codes,route_airport_code,delay_min,primary_flight_code,airline_code,flight_number,airline,status_clean,flight_date,hour,day_of_week,month,is_cancelled,is_delayed,is_ontime,is_early,otp_15_flag
711272.0,arrival,Sacramento,Arrived,19,5.0,2026-03-22 08:25:00,2026-03-22 08:58:00,WN8504,SMF,33.0,WN8504,WN,8504,Southwest,Delayed,2026-03-22,8,Sunday,3,0,1,0,0,0.0
,arrival,Dallas-Ft. Worth,Arrived,7,1.0,2026-03-22 08:33:00,2026-03-22 08:26:00,AA1686,DFW,-7.0,AA1686,AA,1686,American,On Time,2026-03-22,8,Sunday,3,0,0,1,0,1.0
,arrival,San Francisco,Arrived,12,3.0,2026-03-22 08:35:00,2026-03-22 08:27:00,AS3440,SFO,-8.0,AS3440,AS,3440,Alaska,On Time,2026-03-22,8,Sunday,3,0,0,1,0,1.0
710817.0,arrival,Sacramento,Arrived,21,5.0,2026-03-22 08:35:00,2026-03-22 08:30:00,WN726,SMF,-5.0,WN726,WN,726,Southwest,On Time,2026-03-22,8,Sunday,3,0,0,1,0,1.0
,arrival,Provo,Arrived,4,2.0,2026-03-22 08:40:00,2026-03-22 08:30:00,MX602,PVU,-10.0,MX602,MX,602,Breeze,On Time,2026-03-22,8,Sunday,3,0,0,1,0,1.0
710819.0,arrival,Phoenix,Arrived,17,5.0,2026-03-22 08:45:00,2026-03-22 08:31:00,WN2566,PHX,-14.0,WN2566,WN,2566,Southwest,On Time,2026-03-22,8,Sunday,3,0,0,1,0,1.0
,arrival,Phoenix,Arrived,15,6.0,2026-03-22 08:50:00,2026-03-22 09:24:00,F91719,PHX,34.0,F91719,F,91719,Other,Delayed,2026-03-22,8,Sunday,3,0,1,0,0,0.0
,arrival,Phoenix,Arrived,6,1.0,2026-03-22 08:55:00,2026-03-22 08:58:00,AA543,PHX,3.0,AA543,AA,543,American,On Time,2026-03-22,8,Sunday,3,0,0,1,0,1.0
710828.0,arrival,San Jose,Arrived,20,5.0,2026-03-22 08:55:00,2026-03-22 08:44:00,WN4455,SJC,-11.0,WN4455,WN,4455,Southwest,On Time,2026-03-22,8,Sunday,3,0,0,1,0,1.0
,arrival,Provo,Arrived,16,6.0,2026-03-22 08:59:00,2026-03-22 08:41:00,G43211,PVU,-18.0,G43211,G,43211,Other,Early,2026-03-22,8,Sunday,3,0,0,0,1,1.0
,arrival,San Francisco,Arrived,8,4.0,2026-03-22 09:03:00,2026-03-22 08:58:00,"UA5937, AC4246",SFO,-5.0,UA5937,UA,5937,United,On Time,2026-03-22,9,Sunday,3,0,0,1,0,1.0
,arrival,Salt Lake City,Arrived,2,2.0,2026-03-22 09:09:00,2026-03-22 08:50:00,DL1198,SLC,-19.0,DL1198,DL,1198,Delta,Early,2026-03-22,9,Sunday,3,0,0,0,1,1.0
710830.0,arrival,Oakland,Arrived,18,5.0,2026-03-22 09:10:00,2026-03-22 09:05:00,WN1199,OAK,-5.0,WN1199,WN,1199,Southwest,On Time,2026-03-22,9,Sunday,3,0,0,1,0,1.0
,arrival,Boise,Arrived,11,3.0,2026-03-22 09:11:00,2026-03-22 08:56:00,AS486,BOI,-15.0,AS486,AS,486,Alaska,Early,2026-03-22,9,Sunday,3,0,0,0,1,1.0
,arrival,Portland,Arrived,13,3.0,2026-03-22 09:38:00,2026-03-22 09:30:00,AS1404,PDX,-8.0,AS1404,AS,1404,Alaska,On Time,2026-03-22,9,Sunday,3,0,0,1,0,1.0
710841.0,arrival,Sacramento,Arrived,19,5.0,2026-03-22 09:40:00,2026-03-22 10:31:00,WN2206,SMF,51.0,WN2206,WN,2206,Southwest,Delayed,2026-03-22,9,Sunday,3,0,1,0,0,0.0
,arrival,Denver,Arrived,9,4.0,2026-03-22 09:48:00,2026-03-22 09:27:00,"UA2666, AC5491",DEN,-21.0,UA2666,UA,2666,United,Early,2026-03-22,9,Sunday,3,0,0,0,1,1.0
